epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,11941.8,0.64704,0.29017,0.00192,0.93933,0.85995,0.91677,0.74657,0.80313,0.59755,0.00469,0.00149527,0.00149527,0.00149527
153,12019.3,0.64111,0.29581,0.00186,0.92402,0.86017,0.91661,0.74583,0.80521,0.62919,0.00477,0.00144161,0.00144161,0.00144161
154,12090.6,0.64697,0.28995,0.00187,0.93713,0.85719,0.91879,0.74674,0.80501,0.60767,0.00472,0.00138883,0.00138883,0.00138883
155,12163.8,0.62648,0.27481,0.00179,0.92621,0.86865,0.92113,0.75127,0.80316,0.57576,0.00468,0.00133695,0.00133695,0.00133695
156,12235.4,0.64174,0.29673,0.00184,0.93539,0.86407,0.92138,0.7499,0.81785,0.57787,0.00478,0.00128599,0.00128599,0.00128599
157,12307.1,0.63229,0.3028,0.00178,0.93958,0.8594,0.9218,0.75222,0.80065,0.59073,0.00468,0.00123596,0.00123596,0.00123596
158,12377.5,0.63436,0.29009,0.00185,0.94502,0.85852,0.91904,0.74849,0.79971,0.59831,0.00465,0.00118687,0.00118687,0.00118687
159,12449.7,0.63159,0.29295,0.00183,0.9447,0.85657,0.92027,0.7502,0.80591,0.61062,0.00471,0.00113873,0.00113873,0.00113873
160,12520,0.62938,0.2923,0.00184,0.95002,0.85469,0.92097,0.7494,0.8042,0.60785,0.00475,0.00109156,0.00109156,0.00109156
161,12590.9,0.60766,0.27935,0.00174,0.92444,0.88321,0.92084,0.75105,0.80296,0.61044,0.00473,0.00104537,0.00104537,0.00104537
162,12661.7,0.63182,0.28262,0.00185,0.91754,0.87786,0.91861,0.74778,0.80604,0.59678,0.00473,0.00100016,0.00100016,0.00100016
163,12732,0.62998,0.28898,0.0018,0.91993,0.87767,0.92168,0.75463,0.81196,0.59451,0.0048,0.000955951,0.000955951,0.000955951
164,12802.7,0.63141,0.28486,0.00186,0.93141,0.87895,0.92123,0.75071,0.80845,0.61359,0.00479,0.000912754,0.000912754,0.000912754
165,12873,0.63557,0.28817,0.00178,0.93352,0.87242,0.92214,0.74976,0.80715,0.59506,0.00481,0.000870577,0.000870577,0.000870577
166,12943.4,0.62167,0.28119,0.00183,0.95655,0.84986,0.92215,0.75216,0.80198,0.58417,0.00462,0.000829431,0.000829431,0.000829431
167,13016.5,0.61645,0.28467,0.00178,0.93755,0.8647,0.92137,0.75085,0.80068,0.58838,0.00455,0.000789327,0.000789327,0.000789327
168,13088.1,0.61892,0.27488,0.00172,0.9565,0.86233,0.92312,0.75111,0.79769,0.57791,0.00452,0.000750274,0.000750274,0.000750274
169,13158.7,0.61972,0.29861,0.00182,0.94022,0.88088,0.92486,0.7533,0.80625,0.58193,0.00478,0.000712282,0.000712282,0.000712282
170,13229.9,0.62369,0.29982,0.00177,0.95325,0.86784,0.92669,0.75845,0.80078,0.59859,0.00474,0.00067536,0.00067536,0.00067536
171,13300.3,0.61157,0.28702,0.00173,0.95172,0.85094,0.92501,0.75187,0.79655,0.57997,0.00459,0.000639518,0.000639518,0.000639518
172,13371,0.61859,0.27566,0.00172,0.93599,0.86908,0.92698,0.75114,0.80159,0.60447,0.00476,0.000604763,0.000604763,0.000604763
173,13441.8,0.61495,0.26949,0.00174,0.95961,0.86321,0.92704,0.75479,0.80853,0.57308,0.00482,0.000571106,0.000571106,0.000571106
174,13512.6,0.6089,0.27952,0.00173,0.93784,0.86585,0.9253,0.75176,0.80783,0.57261,0.00463,0.000538554,0.000538554,0.000538554
175,13583.5,0.61082,0.27225,0.00181,0.96205,0.85223,0.92443,0.75295,0.80341,0.58165,0.00461,0.000507115,0.000507115,0.000507115
176,13654.1,0.61848,0.28933,0.00176,0.92583,0.87634,0.92439,0.75077,0.79881,0.56253,0.00453,0.000476796,0.000476796,0.000476796
177,13724.8,0.61496,0.28023,0.00172,0.91581,0.88088,0.92395,0.75439,0.79481,0.56852,0.00447,0.000447606,0.000447606,0.000447606
178,13795.1,0.6158,0.27162,0.00177,0.9496,0.86157,0.92378,0.75317,0.79199,0.56561,0.00448,0.000419552,0.000419552,0.000419552
179,13866.2,0.62419,0.27999,0.00175,0.9616,0.84647,0.92307,0.75322,0.79255,0.57477,0.00447,0.00039264,0.00039264,0.00039264
180,13942,0.60281,0.26924,0.00169,0.95812,0.85674,0.92425,0.75317,0.80207,0.59743,0.0047,0.000366877,0.000366877,0.000366877
