epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,3444.37,0.67876,0.79353,0.00217,0.77613,0.73854,0.80464,0.66889,0.67234,0.78652,0.00395,5.05e-05,5.05e-05,5.05e-05
102,3478.4,0.66971,0.80219,0.00217,0.81707,0.70513,0.80904,0.67158,0.6837,0.76532,0.00402,5.0005e-05,5.0005e-05,5.0005e-05
103,3512.33,0.66079,0.77566,0.00214,0.81388,0.70277,0.80972,0.67063,0.6727,0.75792,0.00402,4.951e-05,4.951e-05,4.951e-05
104,3546.31,0.6669,0.83893,0.00223,0.78463,0.72719,0.80908,0.67122,0.6753,0.77773,0.00399,4.9015e-05,4.9015e-05,4.9015e-05
105,3580.31,0.67924,0.75509,0.00226,0.77772,0.72485,0.80511,0.67565,0.67394,0.77092,0.00403,4.852e-05,4.852e-05,4.852e-05
106,3614.27,0.66693,0.79733,0.00217,0.78536,0.73072,0.80848,0.67276,0.67023,0.78282,0.0039,4.8025e-05,4.8025e-05,4.8025e-05
107,3648.27,0.6552,0.77949,0.00216,0.82621,0.6965,0.8077,0.6697,0.66753,0.78899,0.00388,4.753e-05,4.753e-05,4.753e-05
108,3682.25,0.698,0.76114,0.00213,0.76983,0.74968,0.81085,0.67327,0.66795,0.77235,0.00385,4.7035e-05,4.7035e-05,4.7035e-05
109,3716.23,0.65981,0.77433,0.00214,0.79321,0.73159,0.81336,0.67709,0.66436,0.78321,0.00387,4.654e-05,4.654e-05,4.654e-05
110,3750.2,0.66403,0.78759,0.0022,0.7797,0.75245,0.814,0.67866,0.66524,0.75794,0.00396,4.6045e-05,4.6045e-05,4.6045e-05
111,3784.15,0.67876,0.76897,0.00224,0.77128,0.74996,0.80981,0.67152,0.67039,0.77393,0.00396,4.555e-05,4.555e-05,4.555e-05
112,3818.13,0.66299,0.79727,0.00202,0.78798,0.7311,0.80856,0.67293,0.67287,0.78035,0.00395,4.5055e-05,4.5055e-05,4.5055e-05
113,3852.07,0.65407,0.76006,0.00214,0.77651,0.73765,0.8102,0.67358,0.67036,0.78823,0.00397,4.456e-05,4.456e-05,4.456e-05
114,3886.07,0.6751,0.7657,0.0022,0.78093,0.73824,0.8095,0.67483,0.67007,0.78591,0.0039,4.4065e-05,4.4065e-05,4.4065e-05
