epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,5286.19,0.51741,0.29647,0.00161,0.91879,0.82558,0.91094,0.73262,0.69799,0.57271,0.00434,0.00033175,0.00033175,0.00033175
137,5319.5,0.5349,0.31358,0.00168,0.92974,0.8425,0.91661,0.73936,0.70111,0.50817,0.00437,0.0003268,0.0003268,0.0003268
138,5352.81,0.51534,0.29769,0.0016,0.88382,0.87427,0.9225,0.74908,0.69972,0.48861,0.00446,0.00032185,0.00032185,0.00032185
139,5386.09,0.53589,0.31293,0.00156,0.90497,0.85221,0.91689,0.74701,0.68652,0.51088,0.0043,0.0003169,0.0003169,0.0003169
140,5419.44,0.52616,0.29676,0.00162,0.91471,0.88324,0.92152,0.74696,0.69534,0.52721,0.00438,0.00031195,0.00031195,0.00031195
141,5452.71,0.50921,0.28334,0.00164,0.87919,0.88093,0.92238,0.748,0.69039,0.52918,0.00434,0.000307,0.000307,0.000307
142,5486.03,0.50809,0.28267,0.00155,0.90271,0.86371,0.92393,0.75134,0.69265,0.51439,0.0043,0.00030205,0.00030205,0.00030205
143,5519.34,0.53268,0.28608,0.00159,0.89385,0.85829,0.92467,0.74393,0.68952,0.52658,0.0043,0.0002971,0.0002971,0.0002971
144,5552.62,0.51988,0.29857,0.00158,0.88738,0.86298,0.91682,0.73348,0.70534,0.54827,0.0044,0.00029215,0.00029215,0.00029215
145,5585.95,0.53405,0.3098,0.00158,0.92167,0.85303,0.9192,0.74185,0.70504,0.52643,0.0044,0.0002872,0.0002872,0.0002872
146,5619.26,0.5294,0.29681,0.0016,0.92497,0.85269,0.91817,0.74602,0.69889,0.51563,0.00436,0.00028225,0.00028225,0.00028225
147,5652.54,0.51804,0.2907,0.00157,0.8908,0.87588,0.91401,0.7428,0.70453,0.53094,0.00441,0.0002773,0.0002773,0.0002773
148,5685.84,0.53497,0.30185,0.00158,0.90841,0.8708,0.92368,0.74624,0.70332,0.53783,0.00436,0.00027235,0.00027235,0.00027235
